Name,What,Region,Country,Lat,Long,Elev ft.,Pop est
Edacheri,city,Kerala,India,11.76,75.99,2522,38304
Edachova,city,Kerala,India,11.88,75.39,36,28814
Edakanam,city,Kerala,India,11.98,75.64,137,60476
Edakkanad,city,Kerala,India,10.82,75.92,3,151881
Edakkara,city,Kerala,India,11.37,75.78,157,85332
Edakkara,city,Kerala,India,10.64,75.99,22,75294
Edakkazhiyur,city,Kerala,India,10.62,76,19,75671
Edakkulam,city,Kerala,India,11.41,75.73,3,92319
Edakkulam,city,Kerala,India,10.88,75.99,65,186680
Edakkulam,city,Kerala,India,11.41,75.73,3,92319
Edakkad,city,Kerala,India,11.83,75.45,36,26840
Edalayil,city,Kerala,India,11.77,75.85,2509,39587
Edannur,city,Kerala,India,11.72,75.53,6,128085
Edapal,city,Kerala,India,10.78,76,13,219422
Edapalli,city,Kerala,India,10.02,76.31,9,124194
Edapally,city,Kerala,India,10.02,76.31,9,124194
Edappal,city,Kerala,India,10.79,75.98,9,233698
Edappal,city,Kerala,India,10.79,75.99,9,230123
Edappalli,city,Kerala,India,10.02,76.31,9,124194
Edappal,city,Kerala,India,10.78,76,13,219422
Edatilvid,city,Kerala,India,12.06,75.31,101,37129
Edattil,city,Kerala,India,11.79,75.91,2509,37922
Edattirutti,city,Kerala,India,10.36,76.17,68,65105
Edavaga,city,Kerala,India,11.8,75.97,2509,37898
Edavaga,city,Kerala,India,11.75,75.96,2509,38267
Edavanna,city,Kerala,India,11.21,76.14,150,67497
Edavelitodu,city,Kerala,India,11.98,75.76,830,40999
Edavaga,city,Kerala,India,11.74,75.97,2509,38811
Edayanur,city,Kerala,India,11.93,75.51,226,66232
Edayar,city,Kerala,India,10.93,76.11,249,157106
Edayur,city,Kerala,India,10.93,76.11,249,157106
Edekkara,city,Kerala,India,10.67,75.97,16,52361
Elakkara,city,Kerala,India,11.38,75.78,206,72950
Elambilad,city,Kerala,India,11.49,75.63,22,66505
Elambarai,city,Kerala,India,11.93,75.55,239,73702
